title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,health_system_barrier,health_system_description,financial_barrier,financial_description,geograhic_accessibility_barrier,geograhic_accessibility_description,sociocultural_barrier,sociocultural_description,patient_related_barrier,patient_related_description,policy_governance_barrier,policy_governance_description,education_training_barrier,education_training_description,other_barrier,other_description_100
Untreated surgical conditions in Malawi: A randomised cross-sectional nationwide household survey,"Varela C., Young S., Groen R., et al.",17-Sep,"""The aim of this study was to estimate the burden of surgical conditions in Malawi.""","Trauma, Burns, Congenital Malformations, Masses, Deformities","Wound (injury and non-injury-related)
Burn
Solid Mass
Soft Mass / Reducible
Congenital Deformity
Acquired Deformity","35% of individuals reported living with a condition requiring surgical consultation or intervention; 24% of deaths were due to surgically related conditions

""There is a large unmet need for surgical care in Malawi. A third of the population is living with a condition needing surgical consultation or intervention, and a quarter of all deaths are potentially avoidable with surgery."";

""By pathology, solid masses were predominant, followed by injury wounds and also congenital defects."";

“Extrapolated to the population size of Malawi this gives an estimated 5.5 million people living with a surgical condition.”;

“Most individuals did not seek health care due to lack of funds for transportation to the health facility.”
",Inadequate services,“The local health centre will not have the necessary equipment and drugs.”,Transport costs,"“Many people in the rural communities either present late, or do not present at all to the health facility due to transport problems, lack of funds...”;
“Most individuals did not seek health care due to lack of funds for transportation to the health facility.”",distance to care,“These district hospitals and central hospitals are usually far from these rural communities...”,Beliefs and stigma,“Other communities believe the condition they have cannot be treated or even associate the condition with witchcraft.”,NA,NA,NA,NA,NA,NA,NA,NA
Surgical Volumes at the District Hospital: A Retrospective Review of National Data in Rwanda,"Petroze R.T., Nzayisenga A., Calland J.F., et al.",11-Jul,"""To evaluate the volume and types of surgical procedures performed at district hospitals in Rwanda and assess trends and implications for surgical capacity.""","Obstetrics/Gynecology, General Surgery, Orthopedics",NA,"""In comparison to surgical volumes at the referral and teaching hospitals in Rwanda, our study confirms that a significant number of procedures are occurring at the district hospital level, the majority of which are in obstetrics and gynecology."";

""Similar to the results of our review, the breadth of surgical procedures performed was narrow, and obstetric procedures were by far the most common  procedures performed.""; 

""Wound care procedures were not specifically  recorded, but a significant number of procedures are simply listed as ""other.""""",lack of surgical provider; centralized resources,"""Access to surgical care is severely limited by provider scarcity.""; ""Many resources being focused in the capitals or at the university-level.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lack of training,"""Need for training of surgical caregivers...""",NA,NA
Keloids: Assessment of effects and psychosocial- impacts on subjects in a black African population,Olaitan P.B.,9-Aug,"""The objectives of this study was therefore to assess the perception of the subjects with keloids, the psychosocial impacts and effects as well as how patients with keloids cope with them in a black African community where keloids have been found to be very common""",trauma,Keloid scars,"""It is to be concluded that the knowledge of etiology and prevention of keloids is high in a keloid-endemic environment like Nigeria. Patients with these lesions possibly do not consider lesions as a great problem and rarely present to physicians. They also do not have 
significant social problems or problems with their daily chores. We can therefore conclude that unlike in white population with serious negative impacts of keloids among the keloid patients, most keloid patients in a black African community are still able to cope considerably better than their counterparts in areas of low incidence of these lesions""

48.9% felt stigmatized; 35.9% reported limited social interaction; 12.2% said keloids affected work; 58% had received some form of treatment",NA,NA,NA,NA,NA,NA,Use of traditional remedies,“Some believed keloids were caused by witchcraft; stigma and embarrassment reported.”; “Use of traditional remedies like snake fat and shea butter common.”,Late presentation and perceived severity,“Patients rarely present to physicians; many had lesions for years without treatment.”; “Many patients did not consider keloids serious enough to seek treatment.”,NA,NA,NA,NA,NA,NA
Barriers to timely surgery and early surgical outcomes for breast cancer patients in a setting with limited resources,"Ntirenganya F., Hirwa A., Bangui P., et al.",19-May,"""The objective of this study was to identify barriers to timely surgery and describe early surgical outcomes for patients who underwent surgery for breast cancer at two tertiary hospitals in Rwanda.""",neoplasms,breast cancer,"""Delays to surgery are both patient-related and system-related. Increased awareness, surgical outreaches and task sharing with a non-breast surgical specialist may decrease delays to surgery and increase timely access to subsequent adjuvant therapies. """,health system inefficiencies,"Waiting transfer to health facility offering breast cancer surgery (p-value = 0.0003)
Less than 2 weeks = 22(31.9%);
2-4 weeks = 32(46.3%)
More than 1 month = 15(21.7%)

Waiting consultation by a surgeon (p-value = 0.001)
Less than 2 weeks = 9(13%)
2-4 weeks = 33(47.8%)
More than 1 month = 27(39.2%)

Waiting biopsy to be done (p-value = 0.461)
Less than 2 weeks = 47(68.1%)
2-4 weeks = 14(20.3%)
More than 1 month 
8(11.6%)

Waiting biopsy results (p-value = 0.0002)
Less than 2 weeks = 6(8.7%)
2-4 weeks = 17(24.6%)
More than 1 month = 46(66.7%)

Waiting imaging/staging investigations 
(p-value = 0.0006)
Less than 2 weeks = 24(34.8%)
2-4 weeks = 32(46.4%)
More than 1 month = 13(18.8%)

Waiting surgery appointment 
(p-value = 0.0004)
Less than 2 weeks = 23(33.3%)
2-4 weeks = 37(53.6%)
More than 1 month = 9(13.1%)

Days to surgery from symptoms onset
Less than 30 days = 11(15.9%)
30-90 days = 24(34.8%)
More than 90 days  = 34(49.3%)",direct medical costs; indirect costs,"Do you have financial difficulties to access care? (p-value = 0.0002)
Yes = 39(71%)
Sometimes = 11(21%)
No = 4(8%)

Cost of transportation*
< 5 000 RWF (5.95 USD) = 9(17%)
5000-10000 RWF (5.95 – 11.90 USD) = 43(79%)
>10 000 RWF (11.90 USD) = 2(4%)",physical distance,"Time to reach the health facility first consulted (p-value = 0.0001)
1 hour = 6(8.7%)
1-2 hours = 28(40.6%)
>2 hours = 35(50.7%)",health literacy; stigma and cultural beliefs,"Knowledge and attitude about breast cancer (p-value = 0.0004)
Consulted a traditional healer first = 27(39.1%)
Prior poor experience with health system = 19(27.5%)
Acceptance of surgery as a means to cure breast cancer = 32(46.3%)

Delays in Reaching surgical Care (p-value = 0.0001)
First consulted traditional medicine = 27(39.1%)
First consulted Health center = 19(27.5%)
First consulted District Hospital = 11(15.9%)
Went directly to Tertiary Hospital = 12(17.4%)

Time to reach the health facility first consulted (p-value = 0.0001)
1 hour = 6(8.7%)
1-2 hours = 28(40.6%)
>2 hours = 35(50.7%)",NA,NA,NA,NA,NA,NA,method of transportation,"Method of transportation to health facility (p-value = 0.0001)
Walk by foot  = 45(85%)
Public transportation = 30(57%)
Motor vehicle = 12(23%)
Bicycle = 6(11%)
Personal vehicle = 0(0%)"
Audit of emergency throughput of a plastic surgery unit in a developing country,"Nasir A.A., Adigun I.A., Aderibigbe A.B., et al.",9-Oct,"""This study was undertaken to assess the pattern and outcome of emergency surgical admissions to a plastic surgery unit with special emphasis on waiting period between admission and surgery.""",trauma; injuries; infections,amputation; fractures; wounds; necrotizing fasciitis,"""This study shows that trauma (87.5%) is the leading cause of plastic surgery emergency admissions, and road traffic injury (44%) is the leading cause of trauma.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Challenges Facing Surgical Training in the Great Lakes Region in Sub-Saharan Africa: a Review Article,"Galukande M., Luboga S., Elobu E.",13-Nov,"""This review therefore sought to summarize the current literature on the state of surgical training in sub Saharan Africa, discuss the challenges faced and the possible ways to overcome these challenges.""",NA,NA,"""The future of surgical training in Africa will depend on the ability of the leadership to create or and adopt innovative educational technologies, recruit and retain trainers and attract trainees on one hand and on the other, the growth of demand for quality surgical care in the great lakes regions. For those that have excelled in training need to build on those successes and share their stories.""",human resource shortages; infrastructure limitation,"""There is also a shortage of trainers at most institutions of higher learning, and the few that are available are overwhelmed with work in mostly challenging work environments due to lack of funding, inadequate infrastructure and lack of funding for research""

""We performed a review and found that surgical training in the
region is fraught with low numbers of trainees2, 11 (despite recent increases), and trainers with poor working environment and poor pay""

""There is a general lack of exposure and practice in Minimal Invasive Surgery (MIS) and use of
Information Technology (IT).""",funding,"""Internal funding from governments for training and health service delivery is inadequate at best and yet external donor funding is skewed to infectious diseases such as HIV, TB and Malaria.""",NA,NA,NA,NA,NA,NA,NA,NA,training capacity; shortage of trainers; lack of exposure and practice in techniques and technology,"""Any countries on the sub-Saharan Africa have limited capacity to offer most sub-speciality training such as neurosurgery or plastic surgery.""

""There is also a shortage of trainers at most institutions of higher learning, and the few that are available are overwhelmed with work in mostly challenging work environments due to lack of funding, inadequate infrastructure and lack of funding for research.""

""There is a general lack of exposure and practice in Minimal Invasive Surgery (MIS) and use of Information Technology (IT).""",documentation of surgical procedures; low research capacity and output,"""Whereas the scope and frequency of the surgical procedures performed at the district hospitals in the region are well documented27, the same is not true for teaching /referral hospitals, this knowledge may be important if training and assessment (examination) capacities are to be maximally leveraged.""

""The African Innovation outlook 2010 survey showed that only 3 nations Malawi, Uganda and South Africa spent above the 1% of the GDP recommended for research and development. Other issues confronting the region; many laboratories are poorly equipped and science students get little: practice, and practical research training because research centres are often separate from Universities"""
"Free Flap Surgery at Mengo Hospital, Uganda -A Review of The First 19 Consecutive Microvascular Free Tissue Transfers",Galiwango G.W.,2009,"""This study reviews the first 19 consecutive free tissue transfer (free flap) reconstructions at Mengo hospital, Department of Plastic and Reconstructive surgery.""","Trauma, Tumors, Burns, and Congenital Malformations","Burn injuries
Degloving injuries
Radionecrotic wounds
Fibrous frontal and maxillary dysplasia
Supraorbital trauma
Bomb blast injury to mandible
Noma
PBC (Post-burn contracture) of hand	
Gunshot wound to mandible	
RTA (Road Traffic Accidents)	
Partial nasal amputation (?cut. TB)	
Romberg’s disease","""The failure rate observed in this series is higher than what is quoted in series from centres in the more developed countries; this however can be reduced to even such levels as seen in more experienced centres."";
""General and detailed understanding of microvascular free tissue transfer by the surgical, anaesthetic and nursing teams is essential to the smooth running and eventual success of the operation. """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funding paediatric surgery procedures in sub-Saharan Africa,"Ekenze S.O., Jac-Okereke C.A., Nwankwo E.P.",19-Sep,"""In this systematic review, we evaluated publications providing data on the funding of paediatric surgery in SSA over the last 10 years. We specifically focused on the sources of funding and possible solutions to challenges with regards to the future funding of paediatric surgical procedures.""",pediatric surgical procedures,NA,"""While considering the potential limitations created by diversity in study design, the reviewed publications indicate that funding for paediatric surgical procedures in sub-Saharan Africa is mostly by OOPs made by families of the patients.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reducing the Menace of Major Lower Limb Amputations in Diabetic Foot Syndrome,"Awe O.O., Edomwonyi O.E., Onuminya E.J.",15-Nov,"""This is a retrospective study comparing the incidence of major lower limb amputations due to diabetic foot syndrome in the 5 years before the availability of plastic surgery service (PSS) and the first 5 years of this service in Irrua Specialist Teaching Hospital, Irrua.""",Ulcers,diabetic foot syndrome,"""Major lower limb amputation has reduced greatly from 53% to 13% following the Plastic surgery services."";
""We observed that our management protocol has improved the outcome of our patients and  increased hospital presentation of patients with diabetic foot syndrome because of the significant reduction in major amputation which is one of the main reasons why these patients shy away from the hospital and preferably present to the alternative medical care providers.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morbidity and mortality of paediatric burns patients at Maputo Central Hospital, Mozambique","Amado V., da Rocha M., Khosa D., et al.",17-Sep,"""The incidence of paediatric burn injuries is increasing in Africa. Paediatric burn injuries are among the leading causes of preventable morbidity and mortality in sub-Saharan Africa. Research on the morbidity and	mortality	in this setting	is much needed.""",burns,scald burns; fire burns; electrical burns; chemical burns,"""Our findings	are	consistent with other reports that demonstrate	that	paediatric burn injuries	in Africa have a	high	mortality	rate. Patients	with	TBSA > 45% rarely survive, and	young children with burns as small as 20% TBSA often die.""",Lack of health infrastucture,"“We do not yet have a formal burn unit with equipment, infrastructure, and personnel trained to manage patients with more extensive burns.”",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shortage of specialist,“most patients do not have access to intensive care or trained burn surgeons.”,NA,NA
