Covidence #,Study ID,Title,Reviewer Name,Author,Author Affiliation,Author Contact Details,Title,Date of Publication,Journal,Peer Review Status,Country,Funding Sources,Aim of the Study,Study Setting / Location,Study Design,Sources of Data,Study Timeframe,Population Description:,Age Group Demographics,Sex Demographics,Sample Size,General Category of Pathology,Specific Pathology,Types of Surgical Procedure Performed,Main Study Findings,Statistical Outcome Measures,Non-Statistical Outcome Measures,Disability Adjusted Life Years (DALYs),Frequency,Prevalence Rate,Incidence Rate,Other Findings,Surveillance & Health Information Systems:,Surveillance System Yes / No,Surveillance System Details,Health Information System Yes / No,Health Information System Details,Provider Demographics:,Surgeons Number,Surgeons Description,Anesthetists Number,Anesthetists Description,Nurses  Number,Nurses  Description,Other Healthcare Providers Number,Other Healthcare Providers Description,Location of Surgeons (+ other healthcare providers) Number,Location of Surgeons (+ other healthcare providers) Description,Affiliation of Surgeons (+ other healthcare providers) Number,Affiliation of Surgeons (+ other healthcare providers) Description,Hospital Infrastructure:,Bed Capacity Yes / No,Bed Capacity Number,Bed Capacity Description,Operating Rooms Yes / No,Operating Rooms Number,Operating Rooms Description,Burn Unit Availability Yes / No,Burn Unit Availability Number,Burn Unit Availability Description,Anesthesia Availability Yes / No,Anesthesia Availability Number,Anesthesia Availability Description,Ventilator Availability Yes / No,Ventilator Availability Number,Ventilator Availability Description,Blood Bank Availability Yes / No,Blood Bank Availability Number,Blood Bank Availability Description,Laboratory Services Available Yes / No,Laboratory Services Available Number,Laboratory Services Available Description,Imaging Services Available Yes / No,Imaging Services Available Number,Imaging Services Available Description,Sterilization Facilities Yes / No,Sterilization Facilities Number,Sterilization Facilities Description,Other Yes / No,Other Number,Other Description,Hospital Service Coverage Area,Barriers to Care:,Health System Barrier,Health System Description,Financial  Barrier,Financial  Description,Geograhic/Accessibility Barrier,Geograhic/Accessibility Description,Sociocultural Barrier,Sociocultural Description,Patient-Related  Barrier,Patient-Related  Description,Policy/Governance  Barrier,Policy/Governance  Description,Education/Training Barrier,Education/Training Description,Other Barrier,Other Description,Suggested Solutions,Cost of Care:,Cost to Individuals Cost in USD (or other currency),Cost to Government Cost in USD (or other currency)
9534,MohammedYousofBakhiet 2023,Review of Plastic and Reconstructive Surgery in a General Hospital Setting: Experience from a Developing Country,Camille Beatrice Valera,"Bakhiet M.Y., HabibAlla E.H.M., Assil S.M., et al.","Department of Surgery, Faculty of Medicine, University of Kordofan, Elobeid, Sudan; Albaha University, Faculty of Medicine, Saudi Arabia",bakhietmoh@yahoo.com,Review of Plastic and Reconstructive Surgery in a General Hospital Setting: Experience from a Developing Country,Mar-23,Sudan Journal of Medical Sciences,Peer-Reviewed,Sudan,"""None.""","- ""This study reviews and demonstrates plastic surgery services and experiences in a district hospital and underserved areas.""
_ ""Additionally, challenges and obstacles of the hospital setup as well as the development plans have been discussed.""",plastic surgery unit in the Elobeid Teaching Hospital (referral governmental hospital in North Kordofan State),Other: retrospective descriptive study; hospital-based cross-sectional study,secondary data collection (medical records of patients seen in the outpatient clinic or emergency departments for plastic surgical consultation or management),01/2014 - 01/2015,,all age groups,males; females,403 cases,trauma; injury; burn; congenital malformation; tumor; aesthetics ,"fingertip injury; cut wrist, cut extensor; nerve injury; crush hand; ring avulsion injury; thumb amputation; fracture hand bones; gunshot injury; lower limb trauma; cuts over the face; eyelid injury; human bites (lip and nose); burn contracture; cleft lip and/or
palate; polydactyl; spina bifida; hypospadias; hemangioma;  squamous cell carcinoma; basal cell carcinoma; malignant melanoma; breast cancer; soft tissue sarcoma; sagging abdomen; scar revision; macromastia; gynecomastia; neglected hand injury; mallet finger; drop wrist; mycetoma hand; mycetoma foot; keloid surgery; cut achilles tendon","GENERAL PROCEDURES
skin graft + local flap; exploration and repair; primary repair of nerve injury; distant flap; ORIF + closed reduction;  direct skin closure; direct closure repair + composite flap; skin graft; contracture release; cleft lip and/or palate repair; excision & primary closure; excision & direct skin closure; preputial skin flap; excision + graft; mastectomy + myocutaneous flap; abdominoplasty; scar revision; reduction mammoplasty; subcutaneous mastectomy; two stage tendon graft; K-wire fixation; tendon transfer; excision with secondary intension and/or graft; excision and steroid injection; primary repair of cut Achilles tendon

TYPES OF FLAP 
Myocuteneous flap = gastrocnemius; LD; TRAM 
Fasciocutaneous flap = V-Y advancement; thenar; cross finger; radial forearm; groin; first dorsal metacarpal artery; medial and lateral malleolar; random pattern fasciocutaneos; composite; scalp; median forehead; preputial skin flap

TYPES OF SKIN GRAFT 
STSG
FTSG",#VALUE!,frequency; percentages,emergency and elective surgical procedures,,"of 403 cases included in the study: 
- age range = 3 months to 85 years;
- males = 83.4% of cases;
- requiring surgical intervention = 320 (79.4%);
- referred for further management = 9 (2.2%); 

of 320 surgical operations (n cases):
emergency surgical intervention = 181;
elective operations = 139;
congenital deformaties = 44;
oncological procedures = 26;
aesthetic surgery = 17;

of emergency interventions (%): 
– fingertip injury (32%);
- cut wrist (12.7%); 
- cut extensor tendon (9.9%); 
- gunshot injuries (9.4%); 
- fracture in the small bone of the hand (8.3%); 
- lower limb trauma (6.6%); 
- cut wound in the face (6.6%);
- peripheral nerve injuries (5%);
- eyelid injury (2.2%); 
- crush hand injuries (2.2%); 
- ring avulsion injuries (1.7%);
- thumb amputation (1.7%);
- human bites (1.7%) 

of elective procedures (%): 
- congenital deformities (31.6 %);
- tumor/oncological surgery (18.7%); 
- burn surgery cases (17.3%);
- aesthetic surgery procedure (12.2%);
- other miscellaneous cases (12.2%); 
- elective hand surgery procedures represent the rest of the elective operations (8%)

of congenital anomaly procedures (n cases):
- cleft lip = 25;
- cleft palate = 6; 
- polydactyly = 5;
- hypospadias = 4; 
- hemangioma = 3; 
- spina bifida = 1

of oncological procedures (n cases):
- squamous cell carcinoma = 8; 
- basal cell carcinoma = 6;
- malignant melanoma = 5; 
- soft tissue sarcoma = 4; 
- breast carcinoma = 4

of aesthetic surgery (n cases):
- abdominoplasty = 7; 
- scar revision = 5; 
- reduction mammoplasty = 4
- gynecomastia = 1 ",,,#VALUE!,,,,,,,*1,*plastic surgeon specialist,,,,,*2,*residents,,,,,,,*600,*general hospital bed capacity,*Yes,,"*""...the hospital has...operating rooms...""; details unavailable ",,,,,,,,,,,,,*Yes,,"*""...the hospital has...central laboratories...""; specific details unavailable ",*Yes,,"*""...the hospital has...radiological departments...""; specific details unavailable",,,,,,"*medical and surgical departments:
internal medicine units = 8; 
surgical units = 5;
orthopedic units = 3;
ENT unit = 1; 
plastic surgery unit = 1",,,infrastructure limitations; human resource limitation ,"""We did not use free tissue transfer in our setting due to a lack of facilities. These include a lack of microsurgery-trained personnel and equipment, which makes the management of some cases challenging, so we referred some cases to more well-equipped centers.""",direct costs; indirect costs,"""...the access to the service in the capital is demanding financially, and difficult in terms of traveling.""",,,,,,,funding gaps; lack of awareness; lack of strategy,"- ""plastic surgery has been on a downward trend recently in our country...""
- ""...in the last five years...five units of plastic surgery service were established...""; ""Within two years of this, only two centers were still providing the service.",,,,,#VALUE!,,,
8555,Thomson 2020,Management of paediatric burns in low- and middle-income countries: assessing capacity using the World Health Organization Surgical Assessment Tool,Sabina Rodriguez,"Thomson I.K., Iverson K.R., Innocent S.H.S., et al. ","Sydney Medical School, University of Sydney, NSW, AU",itho4440@uni.sydney.edu.au,Management of paediatric burns in low- and middle-income countries: assessing capacity using the World Health Organization Surgical Assessment Tool,Oct-19,International Health,Peer-Reviewed,"Botswana, Burkina Faso, Burundi, Cameroon, Chad, Congo, Ivory Coast, DRC, Ethiopia, Gabon, Gambia, Ghana, Kenya, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritius, Mozambique, Niger, Nigeria, Rwanda, Sao Tome e Principe, Sierra Leone, Somalia, Tanzania, Togo, Uganda, Zambia",None,"This study ""sought to use the WHO SAT database to assess the capacity of facilities in LMICs to manage paediatric burns.""","Community health centre or other primary care facility; district, provincial or regional hospital; general, non-governmental organization, private or mission hospital",Other: Retrospective review,WHO SAT database,10/2010 - 04/2015,,,,475 facilities from 30 SSA countries,burns,,"Acute burn care; wound debridement, amputation, contracture release and skin grafting","""Facilities had an average of 147 beds and performed 485 paediatric operations annually. Discrepancies existed between procedures performed and resource availability; 86% of facilities performed acute burn care, but only 37% could consistently provide intravenous fluids. Many, particularly tertiary, centres performed contracture release and skin grafting (41%) and amputation (50%).""","count, mean, percentages",,,,,,"Interventions for burn care performed in low-income countries (LIC):
- Acute burn care: 83 community health centres or other primary care facilities; 96 district, provincial or regional hospitals; 92 general, non-governmental organizations, private or mission hospitals
- Wound debridement: 69 community health centres or other primary care facilities; 99 district, provincial or regional hospitals; 96 general, non-governmental organizations, private or mission hospitals
- Amputation: 73 district, provincial or regional hospitals; 87 general, non-governmental organizations, private or mission hospitals
- Contracture release and skin grafting: 44 district, provincial or regional hospitals; 74 general, non-governmental organizations, private or mission hospitals

Interventions for burn care performed in middle-income countries (MIC):
- Acute burn care: 65 community health centres or other primary care facilities; 81 district, provincial or regional hospitals; 90 general, non-governmental organizations, private or mission hospitals
- Wound debridement: 73 community health centres or other primary care facilities; 87 district, provincial or regional hospitals; 97 general, non-governmental organizations, private or mission hospitals
- Amputation: 32 district, provincial or regional hospitals; 64 general, non-governmental organizations, private or mission hospitals
- Contracture release and skin grafting: 26 district, provincial or regional hospitals; 58 general, non-governmental organizations, private or mission hospitals

""Of the general burns-related interventions considered, wound debridement (90%) and acute burn care (86%) were the most widely performed overall."", ""Specific initial first aid measures for burns—acute burn care and resuscitation—were performed in 86% and 81% of facilities, respectively. Procedures were generally widely available in secondary and tertiary centres and were more available in LICs than MICs. Procedures that may be required for long-term management of burns were performed less frequently, with amputation performed by 42% of secondary and 72% of tertiary facilities and contracture release and skin grafting performed by 31% of secondary and 63% of tertiary facilities.""",,,,,,,"2.0, 6.7;  3.0, 5.0","Mean number of specialist physician surgeons per facilities:
- District, provincial or regional hospital = 2.0
- General, non-governmental organization, private or mission hospital = 6.7

Mean number of Non-specialist physician surgeons per facilities:
- District, provincial or regional hospital = 3.0
- General, non-governmental organization, private or mission hospital = 5.0","0.5, 1.5; 0.4, 1.6; 2.9, 4.7","Mean number of specialist physician anaesthesiologist per facilities:
- District, provincial or regional hospital = 0.5
- General, non-governmental organization, private or mission hospital = 1.5

Mean number of non-specialist physician anaesthesiologist per facilities:
- District, provincial or regional hospital = 0.4
- General, non-governmental organization, private or mission hospital = 1.6

Mean number of other health professional providing anaesthesia care per facilities:
- District, provincial or regional hospital = 2.9
- General, non-governmental organization, private or mission hospital = 4.7",,,"2.2, 3.3","Mean number of other health professional providing surgical care per facilities:
- District, provincial or regional hospital = 2.2
- General, non-governmental organization, private or mission hospital = 3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"57%, 75%, 82%","Sterilizer per percent of facilities:
- Community health centre or other primary care facility = 57%
- District, provincial or regional hospital = 75%
- General, non-governmental organization, private or mission hospital = 82%",Yes,"Electricity: 15%, 59%, 77%

Water: 21%, 65%, 77%

Oxygen: 32%, 69%, 81%","Electricity per percent of facilities:
- Community health centre or other primary care facility = 15%
- District, provincial or regional hospital = 59%
- General, non-governmental organization, private or mission hospital = 77%

Water per percent of facilities:
- Community health centre or other primary care facility = 21%
- District, provincial or regional hospital = 65%
- General, non-governmental organization, private or mission hospital = 77%

Oxygen per percent of facilities:
- Community health centre or other primary care facility = 32%
- District, provincial or regional hospital = 69%
- General, non-governmental organization, private or mission hospital = 81%",,,,,,,Travel distance,"""A large minority of patients travelled long distances to access care, with 32% typically travelling >80 km to access facilities providing amputation (36% in LICs, 28% in MICs) and 31% typically travelling >80 km to access facilities providing skin grafting and contracture release (41% in LICs, 26% in MICs).""",,,,,,,,,,,,,,
7378,Rigato 2018,"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis",Sabina Rodriguez,"Rigato M., Pizzol D., Tiago A., et al.","Department of Medicine, University of Padova, Padova, Italy",gianpaolo.fadini@unipd.it; gianpaolofadini@hotmail.com ,"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis",May-18,Diabetes Research and Clinical Practice,Peer-Reviewed,"Tanzania, Nigeria, Sudan, Ethiopia, Cameroon, Kenya, Congo, Uganda, Benin, Botswana, Burkina Faso, Eritrea, Libya, Mali, and Senegal", University of Padova and CUAMM,"Review clinical characteristics, prevalence, and  outcomes of patients with diabetic foot ulcer in Africa.",,Systematic review,"Secondary data collection (Literature search: PubMed, ISI, Web of Science, Scopus, www.clinicalttrials.gov, and Cochrane Central Register of Controlled Trials.)",Studies up until May 2017,,All age groups,All sex groups,"Pooled population of 56,173 diabetic patients:
- 10,894 having foot ulcers",Wound ,Diabetic foot ulcer,Amputations,The diabetic foot disease in Africa is a growing problem and is burden by high rate of in-hospital mortality. Educational interventions and screening programs including evaluation of the vascular status may play a crucial role to counter diabetic foot disease in Africa. ,"Pooled prevalence of ulcers:
- Sub-Saharan Africa: 12.6% (95% C.I. 8.3-17.4)
- Western Africa: 16.4% (95% C.I. 10.8-22.5)
- Central Africa: 16.7% (95% C.I. 15.4-33.9)
- Eastern Africa: 11.9% (95% C.I. 8.8-15.4)

Pooled in-hospital mortality: 
- Western Africa: 19.2 (95% C.I. 11.4-27.9)
- Central Africa: 9.5 (95% C.I. 5.4-14.3)
- Eastern Africa: 18.4 (95% C.I. 10.1-27.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7378,Rigato 2018,"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis",Saidu Ahmad Idris,"Rigato M., Pizzol D., Tiago A., et al.","Department of Medicine, University of Padova, Italy ",gianpaolo.fadini@unipd.it,"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis",May-18,Diabetes Research and Clinical Practice,Peer-Reviewed,"Africa (Data were collected from 19 African countries: Tanzania, Nigeria, Sudan, Ethiopia, Cameroon, Kenya, Congo, Uganda, South Africa, Egypt, Algeria, Benin, Botswana, Burkina Faso, Eritrea, Libya, Mali, Morocco, and Senegal)",Supported by the University of Padova and CUAMM,"The study aimed to review clinical characteristics, prevalence, and outcomes of patients with diabetic foot ulcer in Africa.""",,Systematic review,"Data sources included databases such as PubMed, ISI Web of Science, Scopus, www.clinicaltrials.gov, and the Cochrane Central Register of Controlled Trials, as well as hand searching of citations. Studies published in English and French up to May 2017 were included.",Studies published  up to May 2017 ,,,,,Ulcers,Diabetic foot ulcers,,"""According to the data collected, the overall prevalence of foot ulcers was 13% and increased over time, especially since 2001. Approximately 15% of patients with foot lesions underwent major amputation and 14.2% died during hospitalization.""


""In conclusion, diabetic foot ulcers in Africa are debilitating and potentially life-threatening as they are in Western countries, a scenario probably worsened by the lack of appropriate diagnostic and therapeutic interventions.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7378,Rigato 2018,"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis",Consensus,"Rigato M., Pizzol D., Tiago A., et al.","Department of Medicine, University of Padova, Italy ",gianpaolo.fadini@unipd.it; gianpaolofadini@hotmail.com ,"Characteristics, prevalence, and outcomes of diabetic foot ulcers in Africa. A systemic review and meta-analysis",May-18,Diabetes Research and Clinical Practice,Peer-Reviewed,"Africa (Data were collected from 19 African countries: Tanzania, Nigeria, Sudan, Ethiopia, Cameroon, Kenya, Congo, Uganda, South Africa, Egypt, Algeria, Benin, Botswana, Burkina Faso, Eritrea, Libya, Mali, Morocco, and Senegal)", University of Padova and CUAMM,"""The study aimed to review clinical characteristics, prevalence, and outcomes of patients with diabetic foot ulcer in Africa.""",,Systematic review,"Data sources included databases such as PubMed, ISI Web of Science, Scopus, www.clinicaltrials.gov, and the Cochrane Central Register of Controlled Trials, as well as hand searching of citations. Studies published in English and French up to May 2017 were included.",Studies published  up to May 2017 ,,All age groups,All sex groups,"Pooled population of 56,173 diabetic patients:
- 10,894 having foot ulcers",Ulcers,Diabetic foot ulcers,Amputations,"""According to the data collected, the overall prevalence of foot ulcers was 13% and increased over time, especially since 2001. Approximately 15% of patients with foot lesions underwent major amputation and 14.2% died during hospitalization.""


""In conclusion, diabetic foot ulcers in Africa are debilitating and potentially life-threatening as they are in Western countries, a scenario probably worsened by the lack of appropriate diagnostic and therapeutic interventions.""

The diabetic foot disease in Africa is a growing problem and is burden by high rate of in-hospital mortality. Educational interventions and screening programs including evaluation of the vascular status may play a crucial role to counter diabetic foot disease in Africa. ","Pooled prevalence of ulcers:
- Sub-Saharan Africa: 12.6% (95% C.I. 8.3-17.4)
- Western Africa: 16.4% (95% C.I. 10.8-22.5)
- Central Africa: 16.7% (95% C.I. 15.4-33.9)
- Eastern Africa: 11.9% (95% C.I. 8.8-15.4)

Pooled in-hospital mortality: 
- Western Africa: 19.2 (95% C.I. 11.4-27.9)
- Central Africa: 9.5 (95% C.I. 5.4-14.3)
- Eastern Africa: 18.4 (95% C.I. 10.1-27.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7072,Poenaru 2015,The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,Saidu Ahmad Idris,"Poenaru D., Pemberton J., Cameron B.H.







","McMaster Pediatric Surgery Research Collaborative, Department of Surgery, McMaster University, Hamilton, Ontario, Canada.

BethanyKids at Myung Sung Christian Medical Center, Addis Ababa, Ethiopia",dpoenaru@gmail.com,The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,Feb-15,Journal of Pediatric Surgery,Peer-Reviewed,Kenya and Canada,"Funding: Surgical Associates Research Grant, McMaster Department of Surgery.","""This study estimates the DALYs accrued from delayed access to surgical care in two pediatric surgical units in Kenya and Canada.""",,Cross sectional study,"""Medical records were reviewed for all patients under the age of 18 who had one of these surgical procedures at BKKH or MCH between November 2011 and October 2012.""",11/2011 - 10/2012,,Under the age of 18,male and Female,,Congenital malformations,"Cleft lip/palate, spina bifida, hypospadias, anorectal malformations (imperforate anus, PSARP, colostomy, anoplasty, coloanal pull-through), intestinal atresia, hydrocephalus, undescended testes (orchidopexy), abdominal wall defects.",,"  “Delays were longest in general surgery and longer in Kenya than in Canada in all specialties.” 

  “The longest delays in Kenya were for orchidopexy (72 months) and anorectoplasty (74 months), and in Canada for orchidopexy (40 months).” 

  “Total delayed burden of disease was highest in general surgery and neurosurgery and higher again in Kenya than in Canada (484 cf. 84 DALYs).” 
  “The burden of delayed access to surgical care is significant, with long wait times contributing to avoidable morbidity and disability.” 

  “Particularly in Kenya, delays in surgery were statistically significantly higher for most procedures, with mean delays of over 3 years for cleft lip repair, 4 years for hypospadias repair, and 6 years for orchidopexy and posterior sagittal anorectoplasty (PSARP).” 

“Educational and cultural challenges (knowledge that a condition is treatable and where to seek help) contribute to delays.”
","""The longest delays in Kenya were for orchidopexy (72 months) and anorectoplasty (74 months), and in Canada for orchidopexy (40 months)."" 

""Total delayed burden of disease was highest in general surgery and neurosurgery and higher again in Kenya than in Canada (484 cf. 84 DALYs).” ",,"""Total delayed burden of disease was highest in general surgery and neurosurgery and higher again in Kenya than in Canada (484 cf. 84 DALYs).” 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7072,Poenaru 2015,The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,Camille Beatrice Valera,"Poenaru D., Pemberton J., Cameron B.H.","McMaster Pediatric Surgery Research Collaborative, Department of Surgery, McMaster University, Canada; BethanyKids at Myung Sung Christian Medical Center, Ethiopia",dpoenaru@gmail.com,The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,Feb-15,Journal of Pediatric Surgery,Peer-Reviewed,Kenya; Canada,"Surgical Associates Research Grant, McMaster Department of Surgery","""The objective of this study was to use a recently developed surgical DALY methodology to compare the delayed burden of surgical disease accrued through 13 congenital health states addressed by pediatric surgery in a high-income country (Canada) with a low-income country (Kenya).""","""BethanyKids at Kijabe Hospital (BKKH)...a pediatric surgical unit located in a secondary and tertiary general hospital 65 kilometers outside of Nairobi, Kenya.""",Cohort study,records of operations for 13 congenital health states in a Kenyan and a Canadian hospital,2012,,,,1208,congenital malformations,cleft lip; cleft palate,cleft lip repair; cleft palate repair,"""Estimating BoD resulting from delayed surgery is feasible and reflects both late presentation and limited access to care. Further exploration of these factors can make delayed DALYs a useful measure of health care coverage and waitlist prioritization.""",DALYs; means; p-values,,"*cumulative DALYs from temporal delay by procedure:
cleft lip repair = ~25 DALYs;
cleft palate repair = ~15 DALYs

*cumulative DALYs from temporal delay by specialty:
plastics = ~45 DALYs

*mean delayed DALYs incurred for each surgical procedure by procedure type: 
cleft lip repair = ~0.5 DALYs;
cleft palate repair = ~1.5 DALYs

*mean delayed DALYs incurred for each surgical procedure by specialty:
plastics = ~0.7 DALYs
","number of consecutive procedures by site, gender, and specialty: 
cleft lip at BKKH 
females = 18;
males = 30;
total = 48

cleft palate at BKKH
females = 2;
males = 6;
total =8

plastic surgery total 
females = 20;
males = 36;
total = 56",,,"mean delay to surgery for each procedure by site (in months) 
cleft lip repair = 39.8 (p-value = <0.001); 
cleft palate repair = 47.6 (p-value = not significant)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7072,Poenaru 2015,The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,Consensus,"Poenaru D., Pemberton J., Cameron B.H.","McMaster Pediatric Surgery Research Collaborative, Department of Surgery, McMaster University, Canada; BethanyKids at Myung Sung Christian Medical Center, Ethiopia",dpoenaru@gmail.com,The burden of waiting: DALYs accrued from delayed access to pediatric surgery in Kenya and Canada,Feb-15,Journal of Pediatric Surgery,Peer-Reviewed,Kenya; Canada,"Surgical Associates Research Grant, McMaster Department of Surgery","""The objective of this study was to use a recently developed surgical DALY methodology to compare the delayed burden of surgical disease accrued through 13 congenital health states addressed by pediatric surgery in a high-income country (Canada) with a low-income country (Kenya).""","""BethanyKids at Kijabe Hospital (BKKH)...a pediatric surgical unit located in a secondary and tertiary general hospital 65 kilometers outside of Nairobi, Kenya.""",Cohort study,records of operations for 13 congenital health states in a Kenyan and a Canadian hospital,11/2011 - 10/2012,,<18,male; female,1208 surgical procedures,congenital malformations,cleft lip; cleft palate,cleft lip repair; cleft palate repair,"""Estimating BoD resulting from delayed surgery is feasible and reflects both late presentation and limited access to care. Further exploration of these factors can make delayed DALYs a useful measure of health care coverage and waitlist prioritization.""

“The burden of delayed access to surgical care is significant, with long wait times contributing to avoidable morbidity and disability.” 

“Particularly in Kenya, delays in surgery were statistically significantly higher for most procedures, with mean delays of over 3 years for cleft lip repair...""",DALYs; means; p-values,,"*cumulative DALYs from temporal delay by procedure:
cleft lip repair = ~25 DALYs;
cleft palate repair = ~15 DALYs

*cumulative DALYs from temporal delay by specialty:
plastics = ~45 DALYs

*mean delayed DALYs incurred for each surgical procedure by procedure type: 
cleft lip repair = ~0.5 DALYs;
cleft palate repair = ~1.5 DALYs

*mean delayed DALYs incurred for each surgical procedure by specialty:
plastics = ~0.7 DALYs
","number of consecutive procedures by site, gender, and specialty: 
cleft lip at BKKH 
females = 18;
males = 30;
total = 48

cleft palate at BKKH
females = 2;
males = 6;
total =8

plastic surgery total 
females = 20;
males = 36;
total = 56",,,"mean delay to surgery for each procedure by site (in months) 
cleft lip repair = 39.8 (p-value = <0.001); 
cleft palate repair = 47.6 (p-value = not significant)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5968,Mutabdzic 2013,Designing a contextually appropriate surgical training program in low-resource settings: the Botswana experience,Rachel Wangi,"Mutabdzic D., Bedada A.G., Bakanisi B., et al","Faculty of Medicine, General Surgery Residency Program
Office, St. Michael’s Hospital, University of Toronto, QW 3071, 30 Bond Street, Toronto, ON M5B 1W8, Canada",dorotea.mutabdzic@gmail.com,Designing a Contextually Appropriate Surgical Training Program in Low-resource Settings: The Botswana Experience,Aug-12,World Journal of Surgery,Peer-Reviewed,Botswana,,"""We present our
approach to designing a contextually appropriate surgical
training program in Botswana as a potential model for the design of relevant surgical training programs in low-resource settings""",Hospital ,"Other: ""Analysis of surgical logbooks""",medical records,2011,,,male and female,,"burns, trauma,",,"skin grafting, trauma operations","""there are important differences in the scope
of general surgery and the knowledge and skills required
by general surgeons in Botswana compared with their
North American counterparts""",,,,,,,,,,,yes,"""Surgical logbooks from the largest tertiary care
center in Botswana, dating from 2004 through 2010, were
analyzed""",,27,"""n 2011, there were 27 consultant or specialist
surgeons registered with the Botswana Health Professions
Council""",,,,,,,,,,,,,,,,,,No,,"""there are no plastic surgeons or
burn centers in Botswana.""",,,,,,,,,,,,,,,,,,,,,,,,Human resource shortages,"""The need
remains great, with only 27 surgeons (including all surgical
specialties) for a population of 1.95 million (1:72,000)"" ""there are no plastic surgeons or
burn centers in Botswana, therefore, general surgeons
manage burns and perform a large number of skin grafts..""",,,,,,,,,,,"""surgeon training gaps""",""" there were relatively
few cases performed at Princess Marina in some categories,
which suggests that it may be difficult for trainees in
Botswana to gain enough local exposure during their
training to achieve competency in these area""",,,"""increase access to surgical care""

""most traditional general surgery training programs
would need to provide supplemental training in relevant
subspecialties in order to fully prepare trainees for surgical
practice in Botswana""

""We propose that our approach to the
design of a curriculum for Botswana may serve as a model
for designing a contextually relevant surgical training
curriculum in other low-resource settings""",,,
5968,Mutabdzic 2013,Designing a contextually appropriate surgical training program in low-resource settings: the Botswana experience,Camille Beatrice Valera,"Mutabdzic D., Bedada A.G., Bakanisi B., et al.","Faculty of Medicine, General Surgery Residency Program Office, St. Michael’s Hospital, University of Toronto, Canada",dorotea.mutabdzic@gmail.com,Designing a Contextually Appropriate Surgical Training Program in Low-resource Settings: The Botswana Experience,Aug-12,World Journal of Surgery,Peer-Reviewed,Botswana,,"""We present our experience with an approach to designing a contextually appropriate surgical curriculum in Botswana.""",Princess Marina Hospital,Other: retrospective descriptive study,surgical logbook data collected at Princess Marina Hospital,2004-2010,,,,,,,,#VALUE!,,descriptive experience,,"Total number of cases per year within each defined category at Princess Marina Hospital, with ACGME minimum requirements
Plastic: 
2010 = 117;
2009 = 120;
2008 = 144;
2007 = 194;
2006 = 191;
2005 = 139;
2004 = 148;
ACGME minimum = 5

Skin, soft tissue, and breast
2010 = 145;
2009 = 204;
2008 = 217;
2007 = 278;
2006 = 310;
2005 = 315;
2004 = 322;
ACGME minimum = 25",,,#VALUE!,,,,,,,0,"""there are no plastic surgeons or burn centers in Botswana.""",,,,,,,,,,,,,,,,,,No,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,human resource shortages,"- ""...only 27 surgeons (including all surgical specialties) for a population of 1.95 million (1:72,000)""; 
- ""...there are no plastic surgeons or burn centers in Botswana.""
- ""...general surgeons manage burns and perform a large number of skin grafts.""",,,,,,,,,,,,,,,#VALUE!,,,
