country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Malawi,"Varela C., Young S., Groen R., et al.",17-Sep,Untreated surgical conditions in Malawi: A randomised cross-sectional nationwide household survey,Cross sectional study,07/2016 – 08/2016,Surgeons Overseas Assessment of Surgical need (SOSAS) tool,Nationwide household survey across Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"~40 surgeons; 0.24 surgeons per 100,000 population","Approximately 40 surgeons in total, 20% in private sector; Malawi has 0.24 surgeons per 100,000 population",NA,NA,NA,NA,NA,NA,NA,NA,1027 out of 2909 analysed individuals,NA,Crude death rate due to surgical disease estimated at 67 per 1000 population per year,NA,NA,NA
Rwanda,"Petroze R.T., Nzayisenga A., Calland J.F., et al.",11-Jul,Surgical Volumes at the District Hospital: A Retrospective Review of National Data in Rwanda,"Other: retrospective, descriptive study",01/2008 - 09/2010,aggregate district hospital statistics provided to the Ministry of Health (handwritten surgical registers),40 district hospitals in Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""handwritten surgical registers""; ""Only the district hospital data is centrally available in the HMIS system.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23,621 (2008), 43,389 (2009), 32,944 (Jan–Sep 2010) surgical procedures",NA,"429 major operations per 100,000 persons (2009)",NA,NA,NA
Nigeria,Olaitan P.B.,9-Aug,Keloids: Assessment of effects and psychosocial- impacts on subjects in a black African population,Other: Prospective observational study,01/2005 - 06/2008,primary data collection (patient questionnaires),"Plastic Surgery Clinic, Lautech Teaching Hospital, Osogbo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131 patients with keloids,NA,NA,NA,NA,NA
Rwanda,"Ntirenganya F., Hirwa A., Bangui P., et al.",19-May,Barriers to timely surgery and early surgical outcomes for breast cancer patients in a setting with limited resources,Cross sectional study,05/2016 -  05/2017,"primary data collection (""A  pre-established questionnaire was completed to collect data  either from patient interviews or using secondary data from the pathology laboratory registry, pathology reports and patients’ files. "")",University Teaching Hospital of Kigali and Rwanda Military Hospital (tertiary hospitals),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""...pathology laboratory registry, pathology reports and patients’ files.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69 patients,NA,NA,NA,NA,NA
Nigeria,"Nasir A.A., Adigun I.A., Aderibigbe A.B., et al.",9-Oct,Audit of emergency throughput of a plastic surgery unit in a developing country,Other: Observational study,09/2005 - 08/2007,Primary data collection (pre-designed form),Plastic surgery unit of University of Ilorin Teaching Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32 patients,NA,NA,NA,NA,NA
"Sub-Saharan Africa (Burundi, Rwanda, northeastern Democratic Republic of Congo, Uganda, Kenya, Tanzania,  Zambia, Malawi and Mozambique, Ethiopia)","Galukande M., Luboga S., Elobu E.",13-Nov,Challenges Facing Surgical Training in the Great Lakes Region in Sub-Saharan Africa: a Review Article,Other: Literature Review,NA,"Electronic datasets (PubMed, Medline, African Journals)",Surgical training in Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88 articles,NA,NA,NA,NA,NA
Uganda,Galiwango G.W.,2009,"Free Flap Surgery at Mengo Hospital, Uganda -A Review of The First 19 Consecutive Microvascular Free Tissue Transfers",Other: Retrospective Case Series,06/2005 - 12/2007,medical records (clinical notes),Department of Plastic and Reconstructive surgery (Mengo Hospital),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 patients,NA,NA,NA,NA,NA
sub-Saharan Africa (Nigeria; South Africa; Kenya; Ghana; Malawi; Uganda; Zambia; Cameroon; Liberia; Sierra Leone; Mozambique; Zimbabwe; Botswana; Cote d’Ivoire; Ethiopia; Tanzania),"Ekenze S.O., Jac-Okereke C.A., Nwankwo E.P.",19-Sep,Funding paediatric surgery procedures in sub-Saharan Africa,Systematic review,01/2007 - 11/2016,PubMed; African Index Medicus; African Journal Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35 articles,NA,NA,NA,"""The mean cost of the procedures, as indicated, ranged from 60 USD for paediatric hernia or cataracts to 21,140 USD for cardiac surgery.""",NA
Nigeria,"Awe O.O., Edomwonyi O.E., Onuminya E.J.",15-Nov,Reducing the Menace of Major Lower Limb Amputations in Diabetic Foot Syndrome,Other: retrospective cohort study,10/2004 - 09/2009; 10/2009 - 09/2014,medical records (patients’ case-notes from the Medical Records Department),"Irrua Specialist Teaching Hospital, Irrua Edo State of Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"patients medical records at the Medical Records department of the Irrua Specialist Teaching Hospital, Irrua Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85 patients (10/2004-09/2009);
167 patients (10/2009-09/2014",NA,NA,NA,NA,NA
Mozambique,"Amado V., da Rocha M., Khosa D., et al.",17-Sep,"Morbidity and mortality of paediatric burns patients at Maputo Central Hospital, Mozambique",Other: prospective questionnaire-based study,05/2016 - 08/2016,primary data collection (questionnaire),Maputo Central Hospital,NA,NA,NA,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66 patients,NA,NA,NA,NA,NA
Rwanda,"Abahuje E., Uyisabye I., Ssebuufu R.",16-Mar,EPIDEMIOlOGY OF PEDIATRIC SURGERY IN RwANDA: A ONE YEAR REVIEW,Other: Retrospective study,08/2013 - 07/2014,Operating room registries and operative database,Kigali University Teaching Hospital (CHUK) and Butare University Teaching Hospital (CHUB) (referral centers),NA,CHUK: 14 pediatric surgery beds; CHUB: 12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 visiting pediatric surgeon,“General and orthopedic surgeons performed most procedures; one visiting pediatric surgeon at CHUK”,NA,NA,NA,NA,NA,NA,NA,NA,1274 pediatric surgical patients,NA,NA,NA,NA,NA
Kenya,"Wanjala N., Khainga S.",11-Jan,An Outreach Experience With Cleft Lip/Palate Surgery in selected Hospitals in Kenya,Other: retrospective chart study,01/2005 - 12/2009,"""...records of patients operated on by the authors at the participating hospitals""","Smile train-facilitated surgical outreach programs at the following hospitals: St Elizabeth Mission Hospital Mukumu, St Francis Mission Hospital, Mwiki, Embu Provincial General hospital, Isiolo District Hospital.and Alupe Subdistrict Hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163 patients,NA,NA,NA,NA,NA
