Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Surgical outcome and complications following cleft lip and palate repair in a teaching hospital in Nigeria,"Abdurrazaq, T. O.; Micheal, A. O.; Lanre, A. W.; Olugbenga, O. M.; Akin, L. L.","BACKGROUND: Measurement of treatment outcome is important in estimating the success of cleft management. The aim of this study was to assess the surgical outcome of cleft lip and palate surgery. PATIENTS AND METHODS: The surgical outcome of 131 consecutive patients with cleft lip and palate surgeries between October 2008 and December 2010 were prospectively evaluated at least 4 weeks postoperatively. Data collected included information about the age, sex, type of cleft defects, and type of surgery performed as well as postoperative complications. For cleft lip repair, the Pennsylvania lip and nose (PLAN) score was used to assess the surgical outcome, while the integrity of the closure was used for cleft palate repair. RESULTS: A total of 92 patients had cleft lip repair and 64 had palate repair. Overall, 68.8% cases of cleft lip and palate repair had good outcomes; 67.9% of lip repairs had good lip and nose scores, while 70.2% of palatal repair had a good surgical outcome. Oro-fistula was observed in 29.8% of cleft palate repairs Inter-rater reliability coefficient was substantially significant. CONCLUSIONS: The fact that 25.7% of those treated were aged >1 year suggests a continued need to enlighten the public on the availability of cleft lip and palate expertise and treatment. Although an overall good treatment outcome was demonstrated in this study, the nasal score was poorer than the lip score. Complication rate of about 14% following surgical repair is consistent with previous reports in the literature.",2013,,Afr J Paediatr Surg,10,4,345-57,24469486,10.4103/0189-6725.125447,13671,#137,Abdurrazaq 2013,"",Cleft Palate
The economic burden associated with unmet surgical needs in Liberia: a retrospective macroeconomic analysis based on a nationwide enumeration of surgical procedures,"Adde, H. A.; Oghogho, M. D.; van Duinen, A. J.; Grimes, C. E.; Hampaye, T. C.; Quaife, M.; Bolkan, H. A.","OBJECTIVES: The economic consequences of untreated surgical disease are potentially large. The aim of this study was to estimate the economic burden associated with unmet surgical needs in Liberia. DESIGN: A nationwide enumeration of surgical procedures and providers was conducted in Liberia in 2018. We estimated the number of disability-adjusted life years (DALYs) saved by operative activities and converted these into economic losses averted using gross national income per capita and value of a statistical life (VSL) approaches. The total, the met and the unmet needs for surgery were determined, and economic losses caused by unmet surgical needs were estimated. Finally, we valued the economic losses avoided by various surgical provider groups. RESULTS: A total of 55 890 DALYs were averted by surgical activities in 2018; these activities prevented an economic loss of between US$35 and US$141 million. About half of these values were generated by the non-specialist physician workforce. Furthermore, a non-specialist physician working a full-time position for 1 year prevented an economic loss of US$717 069 using the VSL approach, while a specialist resident and a certified specialist saved US$726 606 and US$698 877, respectively. The burden of unmet surgical need was associated with productivity losses of between US$388 million and US$1.6 billion; these losses equate to 11% and 46% of the annual gross domestic product for Liberia. CONCLUSION: The economic burden of untreated surgical disease is large in Liberia. There is a need to strengthen the surgical system to reduce ongoing economic losses; a framework where specialist and non-specialist physicians collaborate may result in better economic return than a narrower focus on training specialists alone.",2024,,BMJ Open,14,1,e076293,38191260,10.1136/bmjopen-2023-076293,13627,#212,Adde 2024,Rachel Wangi (2025-02-12 15:06:00)(Select): provides the cost averted by conducting surgery. Includes skin grafting and surgical debridement.; ,Barriers to Care; Cost; DALYs
"Audit of oral and maxillofacial surgical conditions seen at Port Harcourt, Nigeria","Adebayo, E. T.; Ajike, S. O.; Abite, M. G.","Background: The worldwide pattern of oral and maxillofacial surgical conditions has been rarely reported despite its significance in head and neck medicine. The Niger Delta region comprises 9 of the 36 states in the Federal Republic of Nigeria. There are scanty reports on oral and maxillofacial surgical diseases from the region despite its 95% contribution to Nigeria's oil-revenue. Methods: This retrospective survey of oral/maxillofacial surgical cases seen at a referral center in Port Harcourt, a city in the Niger delta region of Nigeria. Results: Between 2000 and 2004, our center offered specialized maxillofacial surgical services to 86 patients coming from 5 states in the Niger delta region. These patients made up 20% of all patients seen at the department within the period. There were 110 indications for surgical interventions. Most were complaints of trauma (46.4%). The rest were tumors and allied lesions (39.0%) and cysts (12.7%). Ratio of male to female patients was 1.7:1 while patients were aged between 9 and 85years (mean 31.2years, standard deviation ±15.4). Most (n = 63, 73%) had surgical treatment while a significant proportion (19%) defaulted. Seventy -nine surgical procedures were performed (69 primary and 10 secondary). Primary procedures included maxillo-mandibular fixation (31.9%) and enucleation of tumor/cyst (17.4%). While our series of 86 cases over 4years appears low, there is likelihood that oral and maxillofacial surgical conditions are as common in the Niger Delta region as in other parts of Nigeria. There is scarcity of skilled manpower and equipments for the management of oral maxillofacial surgical conditions in the region. Health promotion activities are needed to improve awareness for early diagnosis of these conditions. Also, poverty alleviation measures need to be effective as defaults were often due to inability to pay for treatment. Conclusion: In many parts of the Niger Delta region of Nigeria, oral and maxillofacial surgical diseases are not uncommon causes of morbidity. However, many parts of the region lack requisite manpower for prevention and curative health activities. Defaults from hospital treatment were due to preference for traditional (unorthodox) measures and financial inability. Poverty alleviation measures need to be stepped up while the state of medical infrastructure should be enhanced in the region.",2008,,Annals of African Medicine,7,1,29-34,,10.4103/1596-3519.55687,22172,#219,Adebayo 2008,"",Barriers to Care; Burden; Maxillo-facial surgery
Cancrum oris: Principles of management and reconstructive surgery,"Adekeye, E. O.; Ord, R. A.","A survey of 140 cases of cancrum oris in Nigerian Africans is presented. The salient clinical features, the problems of management and the modern approaches to the reconstruction of facial deformities seen in this disease are described. Mainly affected were children under the age of 10 years and the commonest involvement was the full thickness of the cheek. A high incidence of ankylosis was noted and the methods of anaesthesia and surgical correction of ankylosis are examined. The number of patients presenting for reconstruction of facial defects due to cancrum oris appears to be increasing. Preventive measures that may reduce the incidence of the disease are suggested.",1983,,Journal of Maxillofacial Surgery,11,4,160-170,,,23144,#248,Adekeye 1983,"Saidu Ahmad Idris (2025-01-17 07:37:53)(Select):  burden, barriers, and management challenges of Noma; ",Noma
Rotational rural surgery for the poor in developing countries,"Aderounmu, A. O. A.; Afolayan, S. A.; Nasiru, T. A.; Olaore, J. A.; Adeoti, M. L.; Adelasoye, M.","Radio and television announcements advised patients with surgical problems in the rural areas of Osun State, Nigeria, to report at any of the nine zonal headquarters of the state which were closest to their homes in order to receive free treatment. Over 1000 patients reported and 801 received operations on a rotational basis within nine weeks. We studied 719 of these patients, ages between 4 months and 87 years, who had detailed follow-up records. There were 14 different procedures ranging from a hernia repair to the separation of syndactyly. Complications included postoperative pain, haematoma and late superficial wound infection. We concluded that rotational free surgery can help the poor in the third-world countries to receive treatment that they would otherwise not be able to afford.",2008,,Tropical Doctor,38,3,141-144,,10.1258/td.2007.070064,22183,#285,Aderounmu 2008,"Saidu Ahmad Idris (2025-02-04 18:41:09)(Select): surgical outreach:  Include relevant reconstructive surgical procedures + barriers; Camille Beatrice Valera (2025-02-04 03:13:27)(Select): some data on topics of interest: 

Excision of lipoma
Excision of breast lumps
Excision of cysts
Excision of keloid
Separation of syndactyly; ",Access to Healthcare; Barriers to Care; Burden
"Locked intramedullary nailing of open fractures in resource-poor settings: a prospective observational study of challenges and functional outcomes in 101 fractures at Ogbomoso, Nigeria","Adesope Adesina, S.; Olusayo Amole, I.; Owolabi, J. I.; Oyewusi, O. O.; Goodness Adefokun, I.; Uwale Eyesan, S.","Background: Trauma is now one of the fastest growing epidemics globally but low and middle-income countries (LMICs) are more severely affected in terms of cost, disability and death. The high-energy trauma of road traffic accidents and violence often produces open fractures which can be difficult to manage in resource-poor settings. Adequate stabilization, such as provided by locked nails, has been found to ensure better outcome for open fractures. There is dearth of published studies on the use of locked intramedullary nail in the treatment of open fractures in Nigeria. Methods: This is a prospective observational study of all the 101 open fractures of the humerus, femur and tibia treated over a period of 92 months with Surgical Implant Generation Network (SIGN) nail. Fracture severity was classified according to the modified Gustilo-Anderson system. The intervals between fracture and antibiotics administration, débridement and definitive fixation, as well as surgery duration and method of fracture reduction were noted. Outcomes measured at follow-up included infection, ongoing radiographic healing, knee flexion/shoulder abduction beyond ninety degrees (KF/SA > 900), full weight bearing (FWB), painless squatting (PS&S)/shoulder abduction-external rotation (SAER). Results: Most of the patients fall between ages 20 and 49 years; 75.5% of them were males. There were more Gustilo-Anderson type IIIA fractures than other types but nine type IIIB tibia fractures were also nailed. The overall infection rate was 15%, contributed mostly by the type IIIB fractures. By the 12th post-operative week, at least 79% had ongoing radiographic healing and had achieved all of KF/SA > 900, FWB, and PS&S/SAER. Conclusion: The SIGN nail’s solid construct reduces the risk of infection and allows earlier use of the limb, making it particularly suitable in LIMCs where socioeconomic functioning often requires an unhindered use of the limbs.",2023,,BMC Musculoskeletal Disorders,24,1,,,10.1186/s12891-023-06271-7,15826,#295,AdesopeAdesina 2023,"Lionel Bernard Dumont (2025-02-26 23:15:40)(Select): This is orthopedic surgrey but for some patient they performed skin grafting and muscle flap. There is no clear data on hoy many patient and how many flap and graft. To  be discuss; Lionel Bernard Dumont (2025-02-26 23:14:32)(Select): T he patients were started on broad spectrum antibiotics on arrival in our Emergency Room (ER) and had the fractured lower limb splinted with plastic back-slab or upper limb with sling. Once assessed fit for anaesthesia following initial resuscitation, wound débridement and irrigation were done in the operating room (OR). For patients who presented ≤ 8 hours’ post-injury, immediate primary wound closure was done if there was no soft tissue loss. Otherwise, a delayed closure with muscle flap and split-thickness skin graft was done at the time of definitive fracture fixation. Depending on the severity of their injuries, the patients either had further OR débridement or daily wound dressing changes by nurses on the wards. Definitive fracture fixations were done with the SIGN nail any time from day 0 post-injury, using the surgical procedure described by the manufacturer ; Rachel Wangi (2025-02-12 15:10:15)(Select): ???Fracture !!! - includes long bones; ",Fractures
Africa has unique and urgent barriers to cleft care: Lessons from practitioners at the pan-african congress on cleft lip and palate,"Adetayo, O.; Ford, R.; Martin, M.","Background: The goals of this study were to delineate the protocols employed for managing patients with cleft lip and palate deformities, delineate the challenges facing practitioners and patients, and to determine the patient and physician barriers to cleft care delivery in the region. Methods: Survey questionnaires were administered to practitioners attending the second Pan-African Congress on Cleft Lip and Palate (PACCLIP), which took place in Ibadan, Nigeria, West Africa from February 4-7, 2007. The conference included 225 participants, representing 17 African countries. Results: Protocols for repair of cleft lip and palate deformities were varied, with Millard's and von Langenbeck's techniques being the preferred approach for the management of cleft lip and palate deformities, respectively. A large proportion of providers have limited access to core cleft care supporting teams, especially speech language pathologists, orthodontists, and audiologists. Several challenging barriers to cleft care were also identified at both the institutional and individual levels and are reported. Conclusion: Geographic separation in Africa presents a similar challenge due to isolationism as it does to surgeons in Europe. Specific to Africa are the increased barriers to care, and economic and financial hardship at various levels. A focus on funding, team building, infrastructural support, and patient education appear to be crucial in improving the care and lives of children with facial clefts in Africa. © Oluwaseun Adetayo et al.",2012,,Pan African Medical Journal,12,1,,,,21134,#306,Adetayo 2012,Camille Beatrice Valera (2025-01-30 01:45:51)(Select): constraints and barriers to cleft care encountered by practitioners; ,Barriers to Care; Cleft Palate; Congenital Malformations
Management of complications of Mycobacterium ulcerans disease: A three-year review,"Adu, E. J. K.","Background: Infection with Mycobacterium ulcerans (MU) causes extensive destruction of tissues with the formation of large ulcers on exposed parts of the body. Healing leads to extensive scarring and other complications which may impair function. Objective: To document the complications of MU disease and the reconstructive surgery performed to correct them. Study design: Prospective from January 2010 to December 2012. Setting: Ahafo Ano, Amansie West, Asunafo, and Upper Denkyira districts of Ghana. Methods: Patients with unhealed lesions after completing 8. weeks of rifampicin and streptomycin treatment, and patients with complications of MU disease were selected and prepared for surgical treatment. Results: 61 patients were treated successfully with rifampicin and streptomycin without complications. 65 patients presented with complications; they comprised 34 males and 31 females. Their ages ranged from 1. year 3. months to 80. years with mean age of 29.7 (S.D. 20.1).The types of lesions seen were ulcers (54), contractures (7), chronic osteomyelitis (one), subluxation of knee joint (one), salivary gland fistula (one) and Marjolin's ulcer (one). The lesions were distributed as follows: 69.2% on the lower, and 23.1% on the upper limbs, 6.2% on the head and neck and 1.5% on the trunk. Wound excision with or without skin grafting was done in 84.6% of patients, surgery for contractures in10.8%, and sequestrectomy, exploration and ligation of fistula, groin dissection and above knee amputation in 4.6%. Conclusion: Whilst ulcers, the commonest MU lesions, are being controlled with antibiotics, rare complications of the disease are also emerging. © 2013 Asian-African Society for Mycobacteriology.",2013,,International Journal of Mycobacteriology,2,4,206-210,,10.1016/j.ijmyco.2013.08.003,20786,#345,Adu 2013,Lionel Bernard Dumont (2025-02-16 21:03:32)(Select): Related to reconstructive sjurgery; Camille Beatrice Valera (2025-02-05 23:45:47)(Select): data on reconstructive surgeries performed on MU patients.; ,""
Mycobacterium ulcerans disease in the middle belt of Ghana: An eight-year review from six endemic districts,"Adu, E. J. K.; Ampadu, E.","Background: Mycobacterium ulcerans (MU) produces mycolactone toxin when infected with a plasmid. Toxin is cytotoxic and immunosuppressive, causing extensive destruction of tissues, leading to large ulcers on exposed parts of the body. Spontaneous healing by secondary intention leads to contractures, subluxation of joints, disuse atrophy, distal lymphedema and other complications. The disease is endemic in some communities within the middle belt of Ghana. Objective: To document the clinical and epidemiological features of MU disease in the middle belt of Ghana and the outcome of treatment. Patients and methods: Patients with lesions suspected to MU disease were screened by community workers. Lesions were confirmed by any of the following: direct smear examination, culture, polymerase chain reaction (PCR), or histopathology.Patients were treated with rifampicin (10. mg/kg orally) and streptomycin (15. mg/kg IM) combination for eight weeks. Patients selected for surgical treatment included cases where medical treatment had failed, cases where medical treatment is contraindicated, cases presenting late with complications and recurrent cases. Results: 258 patients were seen in the Ahafo Ano, Amansie Central, Amansie West, Asunafo, Asutifi, and Upper Denkyira districts of Ghana between 2005 and 2012. Their ages ranged from 1. year 3. months to 98. years, with a mean age of 29.8 (SD 20.4).The clinical forms of MU disease seen were: papule (0.5%), nodule (1.5%), chronic osteomyelitis (1.5%), contracture (1.5%), edematous lesion (3%), and ulcer (92%). Uncommon complications include subluxation of knee joint, salivary gland fistula and Marjolin's ulcer.The lesions were distributed as follows: head and neck (6.8%), upper limb (20.3%), trunk (1.7%), and lower limb (71.2%). Conclusion: MU disease in the middle belt of Ghana can be controlled by early case detection and adequate curative treatment.",2015,,International Journal of Mycobacteriology,4,2,138-142,,10.1016/j.ijmyco.2015.03.006,20238,#346,Adu 2015,"",Ulcers
Delayed access to essential surgical care in Uganda: A tertiary multi-center study,"Adupa, E.; Kanyike, A. M.; Mwebembezi, J.; Nteranya, D. S.; Ndibalema, M.; Matovu, D.; Niwenyesiga, V.; Arinda, S.; Agaba, K.","Background: Surgery has been largely neglected within global public health despite growing evidence that the overall burden of disease requiring surgical intervention is rapidly growing and affordable access to surgical care can avert many deaths and disabilities. This study assessed the factors influencing delayed access to essential surgical care in Uganda. Methods: A descriptive multi-center cross-sectional survey was carried out in three hospitals designated for major surgeries in Uganda from December 2019 to December 2021 across three regions of the country in a prospective manner. Patients admitted to the hospitals that required surgical intervention were included. Bivariate analysis using the chi-square test or Fischers’ exact test and multivariable logistic regression models to adjust for confounders were carried out. Findings: A total of 635 patients participated in the study of which the majority were males (n = 399, 63%) from the Northern region (n = 347, 54.7%.). Most patients and sought surgical help immediately (n = 406, 63.9%) and were operated on time (n = 402, 63.3%), however only 23.3% (n = 148) were able to reach the hospital for care on time. Caretakers’ hesitancy on the surgical procedure (aOR: 2.41 95% CI: 1.07 – 5.43; p = 0.035), hospital inaccessibility (aOR: 5.35 95% CI: 1.82 – 5.75; p = 0.002), and delayed surgical procedure performance (aOR: 6.37 95% CI: 2.64 – 5.34; p<0.001) contributed to surgical delays among other factors. Interpretation: All three factors contribute to surgical delay but most significantly access to hospital. Several socioeconomic factors like education, long distances, and poverty interplay in a complex web to hamper access to essential surgical care.",2023,,Surgery in Practice and Science,15,,,,10.1016/j.sipas.2023.100215,15862,#347,Adupa 2023,"Lionel Bernard Dumont (2025-03-06 18:37:04)(Select): Another interesting paper!
No data on reconstructive surgery, but on the causes of delayed management....
All these data related to delay are important in the discussion of our review, in the context of factors limiting access to surgery of any kind! To be included for discussion; Rachel Wangi (2025-03-05 19:38:16)(Select): not specific for reconstructive surgeries; ",Barriers to Care
