Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Surgical outcome and complications following cleft lip and palate repair in a teaching hospital in Nigeria,"Abdurrazaq, T. O.; Micheal, A. O.; Lanre, A. W.; Olugbenga, O. M.; Akin, L. L.","BACKGROUND: Measurement of treatment outcome is important in estimating the success of cleft management. The aim of this study was to assess the surgical outcome of cleft lip and palate surgery. PATIENTS AND METHODS: The surgical outcome of 131 consecutive patients with cleft lip and palate surgeries between October 2008 and December 2010 were prospectively evaluated at least 4 weeks postoperatively. Data collected included information about the age, sex, type of cleft defects, and type of surgery performed as well as postoperative complications. For cleft lip repair, the Pennsylvania lip and nose (PLAN) score was used to assess the surgical outcome, while the integrity of the closure was used for cleft palate repair. RESULTS: A total of 92 patients had cleft lip repair and 64 had palate repair. Overall, 68.8% cases of cleft lip and palate repair had good outcomes; 67.9% of lip repairs had good lip and nose scores, while 70.2% of palatal repair had a good surgical outcome. Oro-fistula was observed in 29.8% of cleft palate repairs Inter-rater reliability coefficient was substantially significant. CONCLUSIONS: The fact that 25.7% of those treated were aged >1 year suggests a continued need to enlighten the public on the availability of cleft lip and palate expertise and treatment. Although an overall good treatment outcome was demonstrated in this study, the nasal score was poorer than the lip score. Complication rate of about 14% following surgical repair is consistent with previous reports in the literature.",2013,,Afr J Paediatr Surg,10,4,345-57,24469486,10.4103/0189-6725.125447,13671,#137,Abdurrazaq 2013,"",Cleft Palate
Cancrum oris: Principles of management and reconstructive surgery,"Adekeye, E. O.; Ord, R. A.","A survey of 140 cases of cancrum oris in Nigerian Africans is presented. The salient clinical features, the problems of management and the modern approaches to the reconstruction of facial deformities seen in this disease are described. Mainly affected were children under the age of 10 years and the commonest involvement was the full thickness of the cheek. A high incidence of ankylosis was noted and the methods of anaesthesia and surgical correction of ankylosis are examined. The number of patients presenting for reconstruction of facial defects due to cancrum oris appears to be increasing. Preventive measures that may reduce the incidence of the disease are suggested.",1983,,Journal of Maxillofacial Surgery,11,4,160-170,,,23144,#248,Adekeye 1983,"Saidu Ahmad Idris (2025-01-17 07:37:53)(Select):  burden, barriers, and management challenges of Noma; ",Noma
Rotational rural surgery for the poor in developing countries,"Aderounmu, A. O. A.; Afolayan, S. A.; Nasiru, T. A.; Olaore, J. A.; Adeoti, M. L.; Adelasoye, M.","Radio and television announcements advised patients with surgical problems in the rural areas of Osun State, Nigeria, to report at any of the nine zonal headquarters of the state which were closest to their homes in order to receive free treatment. Over 1000 patients reported and 801 received operations on a rotational basis within nine weeks. We studied 719 of these patients, ages between 4 months and 87 years, who had detailed follow-up records. There were 14 different procedures ranging from a hernia repair to the separation of syndactyly. Complications included postoperative pain, haematoma and late superficial wound infection. We concluded that rotational free surgery can help the poor in the third-world countries to receive treatment that they would otherwise not be able to afford.",2008,,Tropical Doctor,38,3,141-144,,10.1258/td.2007.070064,22183,#285,Aderounmu 2008,"Saidu Ahmad Idris (2025-02-04 18:41:09)(Select): surgical outreach:  Include relevant reconstructive surgical procedures + barriers; Camille Beatrice Valera (2025-02-04 03:13:27)(Select): some data on topics of interest: 

Excision of lipoma
Excision of breast lumps
Excision of cysts
Excision of keloid
Separation of syndactyly; ",Access to Healthcare; Barriers to Care; Burden
Africa has unique and urgent barriers to cleft care: Lessons from practitioners at the pan-african congress on cleft lip and palate,"Adetayo, O.; Ford, R.; Martin, M.","Background: The goals of this study were to delineate the protocols employed for managing patients with cleft lip and palate deformities, delineate the challenges facing practitioners and patients, and to determine the patient and physician barriers to cleft care delivery in the region. Methods: Survey questionnaires were administered to practitioners attending the second Pan-African Congress on Cleft Lip and Palate (PACCLIP), which took place in Ibadan, Nigeria, West Africa from February 4-7, 2007. The conference included 225 participants, representing 17 African countries. Results: Protocols for repair of cleft lip and palate deformities were varied, with Millard's and von Langenbeck's techniques being the preferred approach for the management of cleft lip and palate deformities, respectively. A large proportion of providers have limited access to core cleft care supporting teams, especially speech language pathologists, orthodontists, and audiologists. Several challenging barriers to cleft care were also identified at both the institutional and individual levels and are reported. Conclusion: Geographic separation in Africa presents a similar challenge due to isolationism as it does to surgeons in Europe. Specific to Africa are the increased barriers to care, and economic and financial hardship at various levels. A focus on funding, team building, infrastructural support, and patient education appear to be crucial in improving the care and lives of children with facial clefts in Africa. © Oluwaseun Adetayo et al.",2012,,Pan African Medical Journal,12,1,,,,21134,#306,Adetayo 2012,Camille Beatrice Valera (2025-01-30 01:45:51)(Select): constraints and barriers to cleft care encountered by practitioners; ,Barriers to Care; Cleft Palate; Congenital Malformations
"Factors enhancing the control of Buruli ulcer in the Bomfa communities, Ghana","Agbenorku, P.; Agbenorku, M.; Amankwa, A.; Tuuli, L.; Saunderson, P.","This study examines factors that may enhance the control and holistic treatment of Buruli ulcer in an endemic area of the Ashanti Region in Ghana. A total of 189 Buruli ulcer patients from the Bomfa sub-district were treated at the Global Evangelical Mission Hospital, Apromase - Ashanti, Ghana, from January to December 2005. Diagnosis was based on clinical findings and confirmed by any two positives of Ziehl-Neelson test for acid fast bacilli, polymerase chain reaction and histopathology. Children up to age 14 made up 43.4% of the cases; male: female ratio was 3:2. The mean duration of hospitalization was 77 days and hospital stay was significantly correlated with the time spent at home with the disease prior to admission; also, 76.7% of the cases were late ulcers. Of the 189 patients, 145 (i.e. 76.7%) were treated with antibiotics and surgery which involved excision, skin grafting with or without contracture release. A follow-up survey after the introduction of the psychosocial approach recorded fewer (85) new Buruli ulcer (BU) cases of which, the majority (78.8%, 67) were nodules and only 21.2% (18) were ulcers. Health education plays a major role in the holistic treatment of BU. This paper proposes a further study in other endemic areas on the treatment of BU with emphasis on psychosocial approach for holistic treatment. © 2011 Royal Society of Tropical Medicine and Hygiene.",2011,,Transactions of the Royal Society of Tropical Medicine and Hygiene,105,8,459-465,,10.1016/j.trstmh.2011.05.003,21536,#371,Agbenorku 2011,"Camille Beatrice Valera (2025-02-04 03:32:41)(Select): burden; barriers to care; Camille Beatrice Valera (2025-02-04 03:22:51)(Select): buruli ulcer treated with antibiotics and surgery which involved excision, skin grafting with or without contracture release; ",Barriers to Care; Ulcers
"A new era in the management of burns trauma in kumasi, ghana","Agbenorku, P.; Akpaloo, J.; Yalley, D.; Appiah, A.","The aim of the study was to investigate the factors affecting the outcome of treatment of burns patients admitted to the Burns Intensive Care Unit (BICU) of the Komfo Anokye Teaching Hospital, Kumasi, Ghana. Information on patients admitted to the BICU from February 2001 to January 2006 was recorded. Parameters recorded included: admission record and demographics, causes of the injury, burned surface area, laboratory investigations, treatment regime, and record of discharge/death. The data were analysed with SPSS version 12.0 and Spearman's rank correlation. A total of 826 patients were recorded; males (n = 492, 60%) outnumbered females (n= 334, 40%). The mean age was 10.5 ± 5 yr, the majority (n = 441, 53%) in the range 0-10 yr. Flame burns (n = 587, 71%), scalds (n = 209, 25%), and chemicals (n = 19, 2%) were the three significant causes of burn injuries. The mean range of the total body surface area (TBSA) burned was 11-20%; 94% (n = 775) had up to 60% TBSA; 64% (n = 527) had only wound dressings for treatment; 21% (n = 174) had early excision with skin grafting, while 15% (n = 125) had delayed excision with skin grafting. The majority (n = 563, 68%) of the patients stayed for less than 10 days after admission. The mortality rate fell over the years, decreasing drastically between 2001 (20.4%) and 2002 (8.6%) and remaining at single digit level in 2003 (7.6%), 2004 (7.9%), and 2005 (7.4 %). The factors affecting the mortality trends were proper case management, increases in the number of professional medical personnel, and their greater dedication.",2010,,Ann Burns Fire Disasters,23,2,59-66,21991199,,15168,#376,Agbenorku 2010,"",Barriers to Care; Burns
Spectrum of paediatric surgical cases in a private mission teaching hospital in Nigeria,"Ajao, A. E.; Adeniran, J. O.","Introduction: Establishing the nature of conditions requiring surgery among children in a particular location may be crucial for policy formulation and implementation as regards paediatric surgery. Objective: This study aimed to describe the pattern and outcome of paediatric surgical cases operated upon in a newly established paediatric surgical unit in Nigeria. Subjects and Methods: This was a cross-sectional study of all subjects that were operated upon by the paediatric surgery unit over a 28-month period. Data obtained included age, sex, diagnosis, timing of surgery, post-treatment complications and outcome. Diagnoses were categorised based on the International Classification of Diseases 11th revision for morbidity and mortality statistics. Data analysis was done using Stata version 12. Results: A total of 377 procedures were performed on 336 patients with a male-to-female ratio of 2.1:1. The median age at surgery was 36 months. Disorders of the digestive system (184, 48.8%) and developmental anomalies (119, 31.6%) accounted for majority of the cases, with inguinal hernias and hydrocoeles accounting for 17.0% of all cases. Thirty-six per cent of the procedures were emergent ones, and the overall complication rate was 23.6% (89/377). The unplanned re-operation rate was 7.4% (25/336) and mortality rate was 5.1% (17/336). Typhoid ileal perforation was responsible for 4 (23.5%) of the deaths. Conclusion: Congenital anomalies and surgical infections represent a major surgical burden among children in our sub-region of Nigeria. There is, therefore, the need for focused research on these conditions and the integration of children surgery into public health programmes for children in sub-Saharan Africa.",2022,,African journal of paediatric surgery : AJPS,19,1,18-22,,10.4103/ajps.AJPS_11_21,17060,#467,Ajao 2022,"",Burden; Children / Pediatric Population; Cleft Palate
Prevalence of Paediatric Surgical Conditions in Eastern Uganda: A Cross-Sectional Study,"Ajiko, M. M.; Weidman, V.; Nordin, P.; Wladis, A.; Löfgren, J.","BACKGROUND: The role of surgery in global health has gained greater attention in recent years. Approximately 1.8 billion children below 15 years live in low- and middle-income countries (LMIC). Many surgical conditions affect children. Therefore, paediatric surgery requires specific emphasis. Left unattended, the consequences can be dire. Despite this, there is a paucity of data regarding prevalence of surgical conditions in children in LMIC. The present objective was to investigate the prevalence of paediatric surgical conditions in children in a defined geographical area in Eastern Uganda. METHOD: A cross-sectional study was carried out in the Iganga-Mayuge Health and Demographic Surveillance Site located in Eastern Uganda. Through a two-stage, cluster-based sampling process, 490 households from 49 villages were randomly selected, generating a study population of 1581 children. The children's caregivers were interviewed, and the children were physically examined by two medical doctors to identify any surgical conditions. RESULTS: The interview was performed with 1581 children, and 1054 were physically examined. Among these, the overall prevalence of any surgical condition was 16.0 per cent (n = 169). Of these, 39 per cent had an unmet surgical need (66 of 169). This is equivalent to a 6.3 per cent prevalence of current unmet surgical need. The most common groups of surgical condition were congenital anomalies and trauma-related conditions. CONCLUSION: Surgical conditions in children are common in eastern Uganda. The unmet need for surgery is high. With a growing population, the need for paediatric surgical capacity will increase even further. The health care system must be reinforced to provide services for children with surgical conditions if United Nations Sustainability Development Goal 3 is to be achieved by 2030.",2022,,World journal of surgery,46,3,701-708,,10.1007/s00268-021-06378-9,16910,#477,Ajiko 2022,"Saidu Ahmad Idris (2025-01-15 20:02:17)(Select): Includes prevalence of relevant reconstructive and plastic surgical  cases like Club foot, cleft palate Wounds, skin tags and lipoma; ",Burden; Burden of Reconstructive Surgeries; Children / Pediatric Population; Cleft Palate; Clubfoot
Delays to Surgery and Coronal Malalignment Are Associated with Reoperation after Open Tibia Fractures in Tanzania,"Albright, P. D.; Ali, S. H.; Jackson, H.; Haonga, B. T.; Eliezer, E. N.; Morshed, S.; Shearer, D. W.","Background Treatment of diaphyseal open tibia fractures often results in reoperation and impaired quality of life. Few studies, particularly in resource-limited settings, have described factors associated with outcomes after these fractures. Questions/purposes (1) Which patient demographic, perioperative, and treatment characteristics are associated with an increased risk of reoperation after treatment of open tibia fractures with intramedullary nailing or an external fixation device in Tanzania? (2) Which patient demographic, perioperative, and treatment characteristics are associated with worse 1-year quality of life after treatment of open tibia fractures with intramedullary nailing or an external fixation device in Tanzania? Methods A prospective study was completed in parallel to a similarly conducted RCT at a tertiary referral center in Tanzania that enrolled adult patients with diaphyseal open tibia fractures from December 2015 to March 2017. Patients were treated with either a statically locked intramedullary nail or external fixator and examined at 2 weeks, 6 weeks, 3 months, 6 months, and 1 year postoperatively. The primary outcome, reoperation, was any deep infection or nonunion treated with a secondary intervention. The secondary outcome was the 1-year EuroQol-5D (EQ-5D) index score. There were 394 patients screened and ultimately, 267 patients enrolled in the study (240 from the primary RCT and 27 followed for the purposes of this study). Of these, 90% (240 of 267) completed 1-year follow-up and were included in the final analysis. This group comprised 110 patients who underwent IMN and 130 who had external fixation; follow-up was similar between study groups. Patients were an average of 33 years old and were primarily males who sustained road traffic injuries resulting in AO/Orthopaedic Trauma Association (OTA) classification type A or B fractures. There were 51 reoperations. For the purposes of analysis, all patients were pooled to identify all other factors, in addition to treatment type, associated with increased risk of reoperation and 1-year quality of life. An exploratory bivariable analysis identifying various factors associated with reoperation risk and EQ-5D was subsequently included in a multivariate modeling procedure to control for confounding of effect on our primary outcome. Multivariable modeling was performed using standard hierarchical modeling simplification procedures with log-likelihood ratios. Alpha levels were set to 0.05. Results After controlling for potentially confounding variables such as gender, smoking status, mechanism of injury, and treatment type, the following factors were independently associated with reoperation: Time from hospital presentation to surgery more than 24 hours (odds ratio 7.7 [95% confidence interval 2.1 to 27.8; p = 0.002), AO/OTA fracture classification Type 42C fracture (OR 4.2 [95% CI 1.2 to 14.0]; p = 0.02), OTA-Open Fracture Classification muscle loss (OR 7.5 [95% CI 1.3 to 42.2]; p = 0.02), and varus coronal angle on an immediate postoperative AP radiograph (OR 4.8 [95% CI 1.2 to 14.0]; p = 0.002). After again controlling for confounding variables such as gender, smoking status, mechanism of injury, and treatment type factors independently associated with worse 1-year EQ-5D scores included: Wound length >= 10 cm (ss = [change in EQ-5D score] -0.081 [95% CI -0.139 to -0.023]; p = 0.006), OTA-Open Fracture Classification muscle loss (ss = -0.133 [95% CI -0.215 to -0.051]; p = 0.002), and OTA-Open Fracture Classification bone loss (ss = -0.111 [95% CI -0.208 to -0. 013]; p = 0.03). We observed a modest, but independent association between reoperation and worse 1-year EQ-5D scores (ss = -0.113 [95% CI -0.150 to -0.077]; p < 0.001). Conclusions We found two potentially modifiable factors associated with the risk of reoperation: reducing time to surgical treatment and avoiding varus coronal angulation during definitive stabilization. Hospitals may be able to minimize time to surgery, and thus, reoperation, by increasing the number of available operative personnel and space and emphasizing the importance of open tibia fractures as an injury requiring emergent orthopaedic management. Given the lack of fluoroscopy in the study setting and similar settings, surgeons should emphasize appropriate fracture alignment, even into slight valgus, to avoid varus angulation and subsequent reoperation risk.",2020,,Clin. Orthop. Rel. Res.,478,8,1825-1835,WOS:000559737100023,10.1097/corr.0000000000001279,24256,#585,Albright 2020,"Sabina Rodriguez (2025-01-23 10:03:41)(Select): Not too sure if the indication is to be included?; Rachel Wangi (2025-01-19 21:42:04)(Select): Barriers to care, access to care; ",Barriers to Care; Surgical Complications
"Management Outcome of Burn Injury and Associated Factors among Hospitalized Children at Ayder Referral Hospital, Tigray, Ethiopia","Alemayehu, S.; Afera, B.; Kidanu, K.; Belete, T.","Background. Burn injuries are a global public health problem, accounting for an estimated 265,000 deaths. Globally, over half of the disability-adjusted life years lost from fire-related burns which occurred between the ages of 0 and 14 years. The rate of child deaths from burns is currently over 7 times higher in low- and middle-income countries than in high-income countries. In Ethiopia, burn was the second leading cause of death among children from the unintentional injuries. So far, no research had been conducted in terms of assessing the outcome of burn injury in children in Ethiopia and particularly in Tigray region. The aim of this study was to assess the outcome of burn injury and associated factors among hospitalized children of under 18 years at Ayder Referral Hospital in Mekelle, Ethiopia. Method. A retrospective document review was used to assess the outcome of burn injury and associated factors in Ayder Referral Hospital. A total of 382 hospitalized children's chart from 2011 to 2015 were reviewed using a structured check list. To select the patients' chart, a simple random sampling technique was used and a sampling frame was prepared based on a registration book. Data was entered, cleaned, and analyzed using SPSS version 20. Result. Almost 70% of the burns were caused by scald, and 45.3% of the burns were confined to the upper extremities. Eighty-two percent of the patients were discharged without complication. Lack of fluid resuscitation within 24 hours (AOR=2.767; 95% CI (1.276-5.999)) and a burn patient with malnutrition (AOR=0.252; 95% CI (0.069-0.923)) were statically significant with the outcome of burn injury. Conclusion. Majority of the pediatric burn patients were discharged without complication. The most causative agent of these accidents was scald; upper extremities also were the most affected area. The factors associated with the outcome of burn injury according to this study were lack of fluid resuscitation and malnourishment of burn patients.",2020,,International Journal of Pediatrics (United Kingdom),2020,,,,10.1155/2020/9136256,18195,#601,Alemayehu 2020,"",Burden; Burns
