title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,patient_related_barrier,patient_related_description
Untreated surgical conditions in Malawi: A randomised cross-sectional nationwide household survey,"Varela C., Young S., Groen R., et al.",17-Sep,"""The aim of this study was to estimate the burden of surgical conditions in Malawi.""","Trauma, Burns, Congenital Malformations, Masses, Deformities","Wound (injury and non-injury-related)
Burn
Solid Mass
Soft Mass / Reducible
Congenital Deformity
Acquired Deformity","35% of individuals reported living with a condition requiring surgical consultation or intervention; 24% of deaths were due to surgically related conditions

""There is a large unmet need for surgical care in Malawi. A third of the population is living with a condition needing surgical consultation or intervention, and a quarter of all deaths are potentially avoidable with surgery."";

""By pathology, solid masses were predominant, followed by injury wounds and also congenital defects."";

“Extrapolated to the population size of Malawi this gives an estimated 5.5 million people living with a surgical condition.”;

“Most individuals did not seek health care due to lack of funds for transportation to the health facility.”
",NA,NA
Surgical Volumes at the District Hospital: A Retrospective Review of National Data in Rwanda,"Petroze R.T., Nzayisenga A., Calland J.F., et al.",11-Jul,"""To evaluate the volume and types of surgical procedures performed at district hospitals in Rwanda and assess trends and implications for surgical capacity.""","Obstetrics/Gynecology, General Surgery, Orthopedics",NA,"""In comparison to surgical volumes at the referral and teaching hospitals in Rwanda, our study confirms that a significant number of procedures are occurring at the district hospital level, the majority of which are in obstetrics and gynecology."";

""Similar to the results of our review, the breadth of surgical procedures performed was narrow, and obstetric procedures were by far the most common  procedures performed.""; 

""Wound care procedures were not specifically  recorded, but a significant number of procedures are simply listed as ""other.""""",NA,NA
Keloids: Assessment of effects and psychosocial- impacts on subjects in a black African population,Olaitan P.B.,9-Aug,"""The objectives of this study was therefore to assess the perception of the subjects with keloids, the psychosocial impacts and effects as well as how patients with keloids cope with them in a black African community where keloids have been found to be very common""",trauma,Keloid scars,"""It is to be concluded that the knowledge of etiology and prevention of keloids is high in a keloid-endemic environment like Nigeria. Patients with these lesions possibly do not consider lesions as a great problem and rarely present to physicians. They also do not have 
significant social problems or problems with their daily chores. We can therefore conclude that unlike in white population with serious negative impacts of keloids among the keloid patients, most keloid patients in a black African community are still able to cope considerably better than their counterparts in areas of low incidence of these lesions""

48.9% felt stigmatized; 35.9% reported limited social interaction; 12.2% said keloids affected work; 58% had received some form of treatment",Late presentation and perceived severity,“Patients rarely present to physicians; many had lesions for years without treatment.”; “Many patients did not consider keloids serious enough to seek treatment.”
Barriers to timely surgery and early surgical outcomes for breast cancer patients in a setting with limited resources,"Ntirenganya F., Hirwa A., Bangui P., et al.",19-May,"""The objective of this study was to identify barriers to timely surgery and describe early surgical outcomes for patients who underwent surgery for breast cancer at two tertiary hospitals in Rwanda.""",neoplasms,breast cancer,"""Delays to surgery are both patient-related and system-related. Increased awareness, surgical outreaches and task sharing with a non-breast surgical specialist may decrease delays to surgery and increase timely access to subsequent adjuvant therapies. """,NA,NA
Audit of emergency throughput of a plastic surgery unit in a developing country,"Nasir A.A., Adigun I.A., Aderibigbe A.B., et al.",9-Oct,"""This study was undertaken to assess the pattern and outcome of emergency surgical admissions to a plastic surgery unit with special emphasis on waiting period between admission and surgery.""",trauma; injuries; infections,amputation; fractures; wounds; necrotizing fasciitis,"""This study shows that trauma (87.5%) is the leading cause of plastic surgery emergency admissions, and road traffic injury (44%) is the leading cause of trauma.""",NA,NA
Challenges Facing Surgical Training in the Great Lakes Region in Sub-Saharan Africa: a Review Article,"Galukande M., Luboga S., Elobu E.",13-Nov,"""This review therefore sought to summarize the current literature on the state of surgical training in sub Saharan Africa, discuss the challenges faced and the possible ways to overcome these challenges.""",NA,NA,"""The future of surgical training in Africa will depend on the ability of the leadership to create or and adopt innovative educational technologies, recruit and retain trainers and attract trainees on one hand and on the other, the growth of demand for quality surgical care in the great lakes regions. For those that have excelled in training need to build on those successes and share their stories.""",NA,NA
"Free Flap Surgery at Mengo Hospital, Uganda -A Review of The First 19 Consecutive Microvascular Free Tissue Transfers",Galiwango G.W.,2009,"""This study reviews the first 19 consecutive free tissue transfer (free flap) reconstructions at Mengo hospital, Department of Plastic and Reconstructive surgery.""","Trauma, Tumors, Burns, and Congenital Malformations","Burn injuries
Degloving injuries
Radionecrotic wounds
Fibrous frontal and maxillary dysplasia
Supraorbital trauma
Bomb blast injury to mandible
Noma
PBC (Post-burn contracture) of hand	
Gunshot wound to mandible	
RTA (Road Traffic Accidents)	
Partial nasal amputation (?cut. TB)	
Romberg’s disease","""The failure rate observed in this series is higher than what is quoted in series from centres in the more developed countries; this however can be reduced to even such levels as seen in more experienced centres."";
""General and detailed understanding of microvascular free tissue transfer by the surgical, anaesthetic and nursing teams is essential to the smooth running and eventual success of the operation. """,NA,NA
Funding paediatric surgery procedures in sub-Saharan Africa,"Ekenze S.O., Jac-Okereke C.A., Nwankwo E.P.",19-Sep,"""In this systematic review, we evaluated publications providing data on the funding of paediatric surgery in SSA over the last 10 years. We specifically focused on the sources of funding and possible solutions to challenges with regards to the future funding of paediatric surgical procedures.""",pediatric surgical procedures,NA,"""While considering the potential limitations created by diversity in study design, the reviewed publications indicate that funding for paediatric surgical procedures in sub-Saharan Africa is mostly by OOPs made by families of the patients.""",NA,NA
Reducing the Menace of Major Lower Limb Amputations in Diabetic Foot Syndrome,"Awe O.O., Edomwonyi O.E., Onuminya E.J.",15-Nov,"""This is a retrospective study comparing the incidence of major lower limb amputations due to diabetic foot syndrome in the 5 years before the availability of plastic surgery service (PSS) and the first 5 years of this service in Irrua Specialist Teaching Hospital, Irrua.""",Ulcers,diabetic foot syndrome,"""Major lower limb amputation has reduced greatly from 53% to 13% following the Plastic surgery services."";
""We observed that our management protocol has improved the outcome of our patients and  increased hospital presentation of patients with diabetic foot syndrome because of the significant reduction in major amputation which is one of the main reasons why these patients shy away from the hospital and preferably present to the alternative medical care providers.""",NA,NA
"Morbidity and mortality of paediatric burns patients at Maputo Central Hospital, Mozambique","Amado V., da Rocha M., Khosa D., et al.",17-Sep,"""The incidence of paediatric burn injuries is increasing in Africa. Paediatric burn injuries are among the leading causes of preventable morbidity and mortality in sub-Saharan Africa. Research on the morbidity and	mortality	in this setting	is much needed.""",burns,scald burns; fire burns; electrical burns; chemical burns,"""Our findings	are	consistent with other reports that demonstrate	that	paediatric burn injuries	in Africa have a	high	mortality	rate. Patients	with	TBSA > 45% rarely survive, and	young children with burns as small as 20% TBSA often die.""",NA,NA
EPIDEMIOlOGY OF PEDIATRIC SURGERY IN RwANDA: A ONE YEAR REVIEW,"Abahuje E., Uyisabye I., Ssebuufu R.",16-Mar,"""This study aims at describing the profile of pediatric surgical procedure performed in Rwanda and to determine the prevalence of pediatric surgical conditions that require the expertise of a Pediatric Surgeon.""","trauma, burns, congenital malformations, infections, neoplasms",NA,"67% of cases required pediatric surgical expertise; trauma/burns (36.6%), congenital anomalies (23.4%), and surgical infections (14.8%) were most common

""This study revealed that trauma and burn: 466 (36.58%), congenital anomaly: 298 (23.39%) and Surgical infections: 188 
(14.76%) were the most common causes of pediatric surgery in Rwanda."";

""Surgery for Trauma and Burn accounted for 36.58% of or the procedures, fractures accounted for 24.7% of all the pediatric surgery done in Rwandan referral hospitals, followed by burn with 3.8%. """,NA,NA
An Outreach Experience With Cleft Lip/Palate Surgery in selected Hospitals in Kenya,"Wanjala N., Khainga S.",11-Jan,"""To describe the presentation and surgical care of patients managed for cleft lips and palates during a surgical outreach program.""",congenital malformations,cleft lip; cleft palate,"""The overall pattern of deformity encountered and the morbidity profile correlate with other studies. There is need to intensify more outreach programs to capture younger patients and address the backlog of cleft cases in the community.""",NA,NA
